"LocalUserId","DateCreated","LastLogin"
"jguevar","2012-09-04","2016-05-24"
"jhegend","2011-03-17","2012-06-15"
"jheider","2011-01-19",NULL
"jhester","2012-09-04","2012-09-17"
"jianminluusc","2012-06-20","2013-10-03"
"jianwel","2011-01-21","2016-09-30"
"jiexinz","2010-08-26",NULL
"jinweil","2012-01-17","2016-07-14"
"jjakowski","2011-02-17",NULL
"jjli","2011-09-13","2012-10-09"
"jjlowe","2013-01-31","2013-04-08"
"jjoyner","2008-06-05","2014-02-08"
"jkenned","2008-02-01","2014-03-14"
"jklawre","2008-02-18","2012-12-14"
"jkou","2008-06-06",NULL
"jksumme","2011-08-17",NULL
"jlalman","2011-10-20","2013-06-28"
"jlan","2011-06-07","2015-08-07"
"jlcox","2009-03-06",NULL
"jliskow","2008-07-01","2012-09-20"
"jlyle","2008-04-24","2011-10-28"
"jmaggio","2012-08-29","2013-06-17"
"jmanson","2012-10-30",NULL
"jmarty","2013-01-16","2013-08-02"
"jmcalil","2009-09-15",NULL
"jmgorzo","2011-08-04",NULL
"jmgrays","2011-05-03","2014-03-18"
"jmhuff","2009-09-08","2012-04-14"
"jmun","2011-08-08","2012-03-28"
"jmundo","2011-10-31","2011-12-12"
"jna","2013-01-07","2013-12-06"
"jnooner","2011-03-14","2014-07-10"
"joeeckert","2012-07-02",NULL
"joehsen","2007-12-15","2016-09-26"
"joeynettles","2012-04-05","2012-09-25"
"johne","2011-01-19",NULL
"johnrichards","2011-02-22","2011-09-26"
"johnweidner","2010-09-13",NULL
"jonathanheath","2012-09-09","2012-10-19"
"josefs","2012-06-12","2013-12-06"
"josephl","2008-06-30",NULL
"josephschacht","2012-04-17",NULL
"jroy","2008-07-22",NULL
"jschrat","2009-02-09","2012-12-04"
"jsharp","2011-10-03","2011-10-03"
"jsilvei","2008-07-22",NULL
"jsmothe","2009-03-06",NULL
"jsnyde2","2010-07-12","2016-12-14"
"jspangl","2009-02-09","2013-04-11"
"jsscott","2011-03-10","2016-02-17"
"jsummer","2010-05-13",NULL
"jsupler","2011-04-01",NULL
"jswift","2011-09-05",NULL
"jt3","2012-01-17","2012-04-20"
"jtalber","2012-08-29","2013-04-23"
"jtessen","2010-11-03","2014-10-30"
"jthatch","2012-07-02",NULL
"jtheodo","2011-10-03","2012-01-15"
"jtroutm","2010-09-07","2016-11-29"
"juanlara2012","2012-09-03","2013-01-02"
"juliawilson","2011-06-07","2013-05-09"
"juny","2008-09-03","2012-05-07"
"justinc","2012-09-17","2013-01-15"
"jwa2","2012-06-12","2016-08-26"
"jwfoste","2008-02-22","2014-06-23"
"jyancey","2008-09-10","2015-09-25"
"jyeagle","2009-01-15",NULL
"jzhai","2012-04-17","2013-04-18"
"jzhang8","2011-11-08","2013-06-19"
"k","2009-06-30","2016-10-30"
